cod_parroquia;nombre_parroquia
10150; Cuenca
10151; Baños
10152; Cumbe
10153; Chaucha
10154; Checa (Jidcay)
10155; Chiquintad
10156; Llacao
10157; Molleturo
10158; Nulti
10159; Octavio Cordero Palacios
10160; Paccha
10161; Quingeo
10162; Ricaurte
10163; San Joaquin
10164; Santa Ana
10165; Sayausi
10166; Sidcay
10167; Sinincay
10168; Tarqui
10169; Turi
10170; Valle
10171; Victoria del Portete
10250; Giron
10251; Asuncion
10252; San Gerardo
10350; Gualaceo
10352; Daniel Cordova Toral
10353; Jadan
10354; Mariano Moreno
10356; Remigio Crespo Toral
10357; San Juan
10358; Zhidmad
10359; Luis Cordero Vega
10360; Simón Bolivar
10450; Nabon
10451; Cochapata
10452; El Progreso
10453; Las Nieves (Chaya)
10550; Paute
10552; Bulan
10553; Chican
10554; El Cabo
10556; Guarainag
10559; San Cristobal
10561; Tomebamba
10562; Dug-Dug
10650; Pucara
10652; San Rafael de Sharug
10750; San Fernando
10751; Chumblin
10850; Santa Isabel
10851; Abdon Calderon
10853; Zhaglli
10950; Sigsig
10951; Cuchil
10952; Gima
10953; Guel
10954; Ludo
10955; San Bartolome
10956; San Jose de Raranga
11050; Oña
11051; Susudel
11150; Chordeleg
11151; Principal
11152; La Union
11153; Luis Galarza Orellana
11154; San Martin de Puzhio
11250; El Pan
11253; San Vicente
11350; Sevilla de Oro
11351; Amaluza
11352; Palmas
11450; Guachapala
11550; Camilo Ponce Enriquez
11551; El Carmen De Pijili
20150; Guaranda
20151; Facundo Vela
20153; Moreno
20155; Salinas
20156; San Lorenzo
20157; San Simón (Yacoto)
20158; Santafe (Santa Fe)
20159; Simiatug
20160; San Luis De Pambil
20250; Chillanes
20251; San Jose Del Tambo
20350; San Jose De Chimbo
20351; Asuncion (Asancoto)
20353; Magdalena (Chapacoto)
20354; San Sebastian
20355; Telimbela
20450; Echeandia
20550; San Miguel
20551; Balsapamba
20552; Bilovan
20553; Regulo De Mora
20554; San Pablo
20555; Santiago
20556; San Vicente
20650; Caluma
20750; Las Naves
30150; Azogues
30151; Cojitambo
30153; Guapan
30154; Javier Loyola
30155; Luis Cordero
30156; Pindilig
30157; Rivera
30158; San Miguel
30160; Taday
30250; Biblian
30251; Nazon
30252; San Francisco De Sageo
30253; Turupamba
30254; Jerusalen
30350; Cañar
30351; Chontamarca
30352; Chorocopte
30353; General Morales
30354; Gualleturo
30355; Honorato Vasquez
30356; Ingapirca
30357; Juncal
30358; San Antonio
30361; Zhud
30362; Ventura
30363; Ducur
30450; La Troncal
30451; Calle
30452; Pancho Negro
30550; El Tambo
30650; Deleg
30651; Solano
30750; Suscal
40150; Tulcan
40151; El Carmelo (El Pun)
40153; Julio Andrade (Orejuela)
40154; Maldonado
40155; Pioter
40156; Tobar Donoso (La Bocana)
40157; Tufiño
40158; Urbina (Taya)
40159; El Chical
40161; Santa Martha De Cuba
40250; Bolivar
40251; Garcia Moreno
40252; Los Andes
40253; Monte Olivo
40254; San Vicente De Pusir
40255; San Rafael
40350; El Angel
40351; El Goaltal
40352; La Libertad (Alizo)
40353; San Isidro
40450; Mira (Chontahuasi)
40451; Concepcion
40452; Jijon Y Caamaño
40453; Juan Montalvo
40550; San Gabriel
40551; Cristobal Colon
40552; Chitan De Navarrete
40553; Fernandez Salvador
40554; La Paz
40555; Piartal
40650; Huaca
40651; Mariscal Sucre
50150; Latacunga
50151; Alaques (Alaquez)
50152; Belisario Quevedo
50153; Guaitacama (Guaytacama)
50154; Joseguango Bajo
50156; Mulalo
50157; 11 De Noviembre (Ilinchi
50158; Poalo
50159; San Juan De Pastocalle
50161; Tanicuchi
50162; Toacaso
50250; La Mana
50251; Guasaganda
50252; Pucayacu
50350; El Corazon
50351; Moraspungo
50352; Pinllopata
50353; Ramon Campaña
50450; Pujili
50451; Angamarca
50453; Guangaje
50455; La Victoria
50456; Pilalo
50457; Tingo
50458; Zumbahua
50550; San Miguel
50551; Antonio Jose Holguin
50552; Cusubamba
50553; Mulalillo
50554; Mulliquindil (Santa Ana)
50555; Pansaleo
50650; Saquisili
50651; Canchagua
50652; Chantilin
50653; Cochapamba
50750; Sigchos
50751; Chugchilan
50752; Isinlivi
50753; Las Pampas
50754; Palo Quemado
60150; Riobamba
60151; Cacha
60152; Calpi
60153; Cubijies
60154; Flores
60155; Lican
60156; Licto
60157; Pungala
60158; Punin
60159; Quimiag
60160; San Juan
60161; San Luis
60250; Alausi
60251; Achupallas
60253; Guasuntos
60254; Huigra
60255; Multitud
60256; Pistishi (Nariz Del Diablo)
60257; Pumallacta (Pumal-Lacta)
60258; Sevilla
60259; Sibambe
60260; Tixan
60350; Villa La Union
60351; Cañi
60352; Columbe
60353; Juan De Velasco (Pangor)
60354; Santiago De Quito
60450; Chambo
60550; Chunchi
60551; Capzol
60552; Compud
60553; Gonzol
60554; Llagos
60650; Guamote
60651; Cebadas
60652; Palmira
60750; Guano
60751; Guanando
60752; Ilapo
60753; La Providencia
60754; San Andres
60755; San Gerardo De Pacaicaguan
60756; San Isidro De Patulu
60757; San Jose Del Chazo
60758; Santa Fe De Galan
60759; Valparaiso
60850; Pallatanga
60950; Penipe
60951; El Altar
60952; Matus
60953; Puela
60954; San Antonio De Bayushig
60955; La Candelaria
60956; Bilbao
61050; Cumanda
70150; Machala
70152; El Retiro
70250; Arenillas
70251; Chacras
70254; Palmales
70255; Carcabon
70350; Paccha
70351; Ayapamba
70352; Cordoncillo
70353; Milagro
70354; San Jose
70355; Cerro Azul
70450; Balsas
70451; Bellamaria
70550; Chilla
70650; El Guabo
70651; Barbones (Sucre)
70652; La Iberia
70653; Tendales
70654; Rio Bonito
70750; Huaquillas
70850; Marcabeli
70851; El Ingenio
70950; Pasaje
70951; Buenavista
70952; Casacay
70953; La Peaña
70954; Progreso
70955; Uzhcurrumi
70956; Caña Quemada
71050; Piñas
71051; Capiro
71052; La Bocana
71053; Moromoro
71054; Piedras
71055; San Roque
71056; Saracay
71150; Portovelo
71151; Curtincapa
71152; Morales
71153; Salati
71250; Santa Rosa
71251; Bellavista
71252; Jambeli
71253; La Avanzada
71254; San Antonio
71255; Torata
71256; Victoria
71257; Bellamaria
71350; Zaruma
71351; Abañin
71352; Arcapamba
71353; Guanazan
71354; Guizhaguiña
71355; Huertas
71356; Malvas
71357; Muluncay Grande
71358; Sinsao
71359; Salvias
71450; La Victoria
71451; La Libertad
71452; El Paraiso
71453; San Isidro
80150; Esmeraldas
80152; Camarones
80153; Carlos Concha Torres
80154; Chinca
80159; Majua
80163; San Mateo
80165; Tabiazo
80166; Tachina
80168; Vuelta Larga
80250; Valdez (Limones)
80251; Anchayacu
80252; Atahualpa
80253; Borbon
80254; La Tola
80255; Luis Vargas Torres
80256; Maldonado
80257; Pampanal De Bolivar
80258; San Francisco De Onzole
