cod_provincia;nombre_provincia;empleo_bruto;empleo_no_remunerado;tasa_desempleo;tasa_analfabetismo;asistencia_edu_basica
1; Azuay;0,678;0,128;0,034;0,055019186;0,960153404
2; Bolivar;0,72;0,269;0,014;0,111648286;0,956176848
3; Cañar;0,69;0,187;0,039;0,112687699;0,944757138
4; Carchi;0,655;0,125;0,049;0,059432331;0,960947496
5; Cotopaxi;0,808;0,241;0,017;0,116011066;0,970328916
6; Chimborazo;0,811;0,324;0,013;0,142492623;0,939927167
7; El Oro;0,625;0,068;0,049;0,036956295;0,946329841
8; Esmeraldas;0,557;0,085;0,104;0,078199569;0,933283114
9; Guayas;0,618;0,054;0,031;0,048589276;0,94015113
10; Imbabura;0,603;0,111;0,068;0,097053363;0,951502286
11; Loja;0,715;0,22;0,036;0,040398392;0,943564099
12; Los Rios;0,62;0,076;0,028;0,092905166;0,924632969
13; Manabi;0,626;0,115;0,023;0,080334919;0,951656291
14; Morona Santiago;0,871;0,392;0,013;0,050250352;0,95916766
15; Napo;0,807;0,318;0,022;0,040617696;0,929283863
16; Pastaza;0,825;0,313;0,019;0,094936719;0,91856247
17; Pichincha;0,592;0,045;0,08;0,032901429;0,957991256
18; Tungurahua;0,75;0,19;0,022;0,06448071;0,951470123
19; Zamora Chinchipe;0,728;0,224;0,031;0,049949915;0,953334662
20; Galápagos;0,748;0,053;0,021;0,010758444;0,962514823
21; Sucumbíos;0,657;0,185;0,047;0,052712703;0,975715839
22; Orellana;0,813;0,371;0,018;0,044620827;0,943394669
23; Santo Domingo;0,633;0,075;0,028;0,053686955;0,94390419
24; Santa Elena;0,594;0,065;0,028;0,04234518;0,947753206
88; Exterior;;;;;
90; Zonas No Delimitadas;;;;;
